mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3067843914031982,0.13219359914981643,0.0031992435455322266,0.000398211407214063,0.5356545233026259,0.22498782522548938,159,3244,440,61.11092950683307,2.563039028690693e-08,0.01162059109844919,6,"OrderedDict([('colsample_bytree', 0.5356545233026259), ('learning_rate', 0.22498782522548938), ('max_depth', 159), ('n_estimators', 3244), ('num_leaves', 440), ('reg_alpha', 61.11092950683307), ('reg_lambda', 2.563039028690693e-08), ('subsample', 0.01162059109844919), ('subsample_freq', 6)])",0.5,0.5,0.5,0.5,0.5,0.5,0.0,60
1.458576250076294,0.09937213101471518,0.010799264907836914,0.0015997116707069383,0.24986775268676453,0.01323530752845796,134,604,383,9.531074841901145,1.7048279932347365e-06,0.6518845360701221,4,"OrderedDict([('colsample_bytree', 0.24986775268676453), ('learning_rate', 0.01323530752845796), ('max_depth', 134), ('n_estimators', 604), ('num_leaves', 383), ('reg_alpha', 9.531074841901145), ('reg_lambda', 1.7048279932347365e-06), ('subsample', 0.6518845360701221), ('subsample_freq', 4)])",0.9119829683698297,0.9667274939172749,0.9250184532108586,0.9355572869679324,0.9026406662604103,0.9283853737452612,0.022202340138031247,26
10.055440330505371,2.1790697553830345,0.051199483871459964,0.0049146322008941454,0.9447268359624884,0.14363848261306444,124,3660,358,1.8642077993193987e-06,1.6470649417230179e-06,0.7228847480629969,3,"OrderedDict([('colsample_bytree', 0.9447268359624884), ('learning_rate', 0.14363848261306444), ('max_depth', 124), ('n_estimators', 3660), ('num_leaves', 358), ('reg_alpha', 1.8642077993193987e-06), ('reg_lambda', 1.6470649417230179e-06), ('subsample', 0.7228847480629969), ('subsample_freq', 3)])",0.9250405515004057,0.964639091646391,0.9481669810547034,0.9416878536865414,0.9113142392849889,0.938169743434606,0.018474534032063488,9
14.543964004516601,2.2700619928878063,0.05999865531921387,0.009380380352431578,0.26578794535302064,0.9074178473759839,232,3009,136,6.174580393961058e-08,0.31620743766416126,0.5829000460796396,2,"OrderedDict([('colsample_bytree', 0.26578794535302064), ('learning_rate', 0.9074178473759839), ('max_depth', 232), ('n_estimators', 3009), ('num_leaves', 136), ('reg_alpha', 6.174580393961058e-08), ('reg_lambda', 0.31620743766416126), ('subsample', 0.5829000460796396), ('subsample_freq', 2)])",0.8958231954582321,0.9515409570154096,0.9285860739768721,0.9448248995325187,0.8985577899654683,0.9238665831897002,0.02304066923414052,27
11.084633445739746,0.09691737413329395,0.046999216079711914,0.013593671278212689,0.19651694648611637,0.06780601269952154,16,1407,507,0.007734297580834182,1.563235692142683e-06,0.7382465578117614,10,"OrderedDict([('colsample_bytree', 0.19651694648611637), ('learning_rate', 0.06780601269952154), ('max_depth', 16), ('n_estimators', 1407), ('num_leaves', 507), ('reg_alpha', 0.007734297580834182), ('reg_lambda', 1.563235692142683e-06), ('subsample', 0.7382465578117614), ('subsample_freq', 10)])",0.836374695863747,0.9039132197891322,0.8852210284589519,0.9005782006069056,0.8543367865122894,0.8760847862462052,0.026486550371376958,44
28.515093421936037,6.312878464112461,0.1097996711730957,0.022902541412890134,0.7739965751904594,0.01934300754896991,144,2597,57,9.103706941331662e-05,0.7907115450599552,0.8972795223898329,3,"OrderedDict([('colsample_bytree', 0.7739965751904594), ('learning_rate', 0.01934300754896991), ('max_depth', 144), ('n_estimators', 2597), ('num_leaves', 57), ('reg_alpha', 9.103706941331662e-05), ('reg_lambda', 0.7907115450599552), ('subsample', 0.8972795223898329), ('subsample_freq', 3)])",0.9259529602595297,0.9709448499594485,0.9404576396292954,0.938653325678668,0.9011375177737152,0.9354292586601314,0.022639612068450072,21
10.687827825546265,0.752208820247363,0.04546070098876953,0.008362657772399378,0.5334048246546964,0.013055565482435798,87,982,125,5.799589814357769e-06,0.011556350804882232,0.4144872817307234,8,"OrderedDict([('colsample_bytree', 0.5334048246546964), ('learning_rate', 0.013055565482435798), ('max_depth', 87), ('n_estimators', 982), ('num_leaves', 125), ('reg_alpha', 5.799589814357769e-06), ('reg_lambda', 0.011556350804882232), ('subsample', 0.4144872817307234), ('subsample_freq', 8)])",0.9312449310624493,0.9717153284671534,0.9362134011317969,0.9439022389895843,0.9094251472679261,0.938500209383782,0.02017748176620031,6
17.29118366241455,2.2215497131436734,0.053199386596679686,0.009600324495790853,0.3294412757961067,0.04214832133822901,119,1392,99,0.028741037450482523,0.0005148734487773112,0.8449611146945373,6,"OrderedDict([('colsample_bytree', 0.3294412757961067), ('learning_rate', 0.04214832133822901), ('max_depth', 119), ('n_estimators', 1392), ('num_leaves', 99), ('reg_alpha', 0.028741037450482523), ('reg_lambda', 0.0005148734487773112), ('subsample', 0.8449611146945373), ('subsample_freq', 6)])",0.8976277372262774,0.9516423357664233,0.9293652095464612,0.9442918067743787,0.8891123298801543,0.9224078838387391,0.024918319458232138,28
25.750188779830932,6.354298974000441,0.09019832611083985,0.004165677631744593,0.013907136828492095,0.04583066373459603,180,3322,117,3.6847245577825992e-06,4.1409832037792914e-07,0.7547267949316108,8,"OrderedDict([('colsample_bytree', 0.013907136828492095), ('learning_rate', 0.04583066373459603), ('max_depth', 180), ('n_estimators', 3322), ('num_leaves', 117), ('reg_alpha', 3.6847245577825992e-06), ('reg_lambda', 4.1409832037792914e-07), ('subsample', 0.7547267949316108), ('subsample_freq', 8)])",0.829014598540146,0.8859894566098946,0.8798080866070697,0.8927048306405314,0.839853747714808,0.86547414402249,0.025898082624042727,47
6.479494428634643,0.37009612744871684,0.05200018882751465,0.018791642327659064,0.15594561383166003,0.3685806582783878,120,2292,419,0.02923767637994449,2.021243307465798,0.32624480187205324,4,"OrderedDict([('colsample_bytree', 0.15594561383166003), ('learning_rate', 0.3685806582783878), ('max_depth', 120), ('n_estimators', 2292), ('num_leaves', 419), ('reg_alpha', 0.02923767637994449), ('reg_lambda', 2.021243307465798), ('subsample', 0.32624480187205324), ('subsample_freq', 4)])",0.8478507704785078,0.8975060827250609,0.8836832608873945,0.896436479947511,0.85533211456429,0.8761617417205528,0.02077789023843563,43
