mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.524450254440307,0.24710119928082097,1.2441797733306885,0.15029489557998538,True,136,sqrt,4,9,1965,"OrderedDict([('bootstrap', True), ('max_depth', 136), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 1965)])",0.9231346309813464,0.9663828061638281,0.94031411465595,0.9322767161486099,0.9130002031281739,0.9350216942155816,0.018140078849794006,55
3.3229482173919678,0.3641340433212503,0.6983884334564209,0.12128104909695185,False,1,sqrt,2,2,1147,"OrderedDict([('bootstrap', False), ('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1147)])",0.8941301703163017,0.9296127331711274,0.8902341507422291,0.8984048224391044,0.8714808043875685,0.8967725362112662,0.01881779570193329,60
4.0323381423950195,0.36025110658669446,0.5059986114501953,0.10363890627180858,False,150,sqrt,2,7,789,"OrderedDict([('bootstrap', False), ('max_depth', 150), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 7), ('n_estimators', 789)])",0.9274939172749391,0.9678832116788322,0.9432461248257197,0.9332198802591651,0.914239284988828,0.9372164838054969,0.017973633881874618,20
2.7433587551116942,0.2816620656546657,0.405592155456543,0.12422790268649896,False,196,sqrt,3,4,493,"OrderedDict([('bootstrap', False), ('max_depth', 196), ('max_features', 'sqrt'), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 493)])",0.9255677210056772,0.9668896999188971,0.9375051258919052,0.9285245632740097,0.9171135486491977,0.9351201317479372,0.01716962881492171,53
1.6585750579833984,0.3053085255064655,0.27979397773742676,0.12805513758040257,True,116,auto,2,5,316,"OrderedDict([('bootstrap', True), ('max_depth', 116), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 316)])",0.9194241686942417,0.9647607461476075,0.9448864102353809,0.9406319199540719,0.916006500101564,0.9371419490265731,0.01786382642139579,21
10.738630151748657,1.9235348128061052,1.507577610015869,0.6452695675448799,False,198,sqrt,2,8,1971,"OrderedDict([('bootstrap', False), ('max_depth', 198), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 8), ('n_estimators', 1971)])",0.9261557177615573,0.9671938361719383,0.9437177068809972,0.9334044123677518,0.9169408897014015,0.9374825125767293,0.0172541348681576,18
4.189736318588257,0.2100322552220349,0.6739891052246094,0.22199667429591544,True,13,auto,2,4,816,"OrderedDict([('bootstrap', True), ('max_depth', 13), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 816)])",0.9242700729927007,0.9685928629359287,0.9410112359550561,0.9364184368080045,0.9130205159455617,0.9366626249274503,0.01871381738476754,35
5.605710411071778,0.2814786782344655,0.8099873542785645,0.08743109920767039,True,82,sqrt,2,4,1039,"OrderedDict([('bootstrap', True), ('max_depth', 82), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1039)])",0.9257907542579075,0.9674472830494728,0.9424874928237513,0.9352292298860002,0.9124517570587041,0.9366813034151672,0.018374116759331077,34
6.955089330673218,0.29586501522879916,0.8089908599853516,0.06701000254685761,False,39,sqrt,3,9,1270,"OrderedDict([('bootstrap', False), ('max_depth', 39), ('max_features', 'sqrt'), ('min_samples_leaf', 3), ('min_samples_split', 9), ('n_estimators', 1270)])",0.925081103000811,0.9668491484184913,0.9431641105552366,0.9299598130074633,0.9157322770668291,0.9361572904097664,0.01771641894011442,45
7.711080932617188,1.0563501102269663,0.7543858051300049,0.15765967304842715,False,157,auto,3,9,1422,"OrderedDict([('bootstrap', False), ('max_depth', 157), ('max_features', 'auto'), ('min_samples_leaf', 3), ('min_samples_split', 9), ('n_estimators', 1422)])",0.9252838605028386,0.966808596918086,0.9428975641761665,0.9301648486836709,0.9159354052407069,0.9362180551042938,0.017595345378506325,43
2.8023565292358397,0.5803707749870101,0.38819179534912107,0.036277424884685903,True,1,auto,4,2,687,"OrderedDict([('bootstrap', True), ('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 687)])",0.8969890510948906,0.9373580697485806,0.904842942672025,0.9024235216927745,0.8831809872029249,0.9049589144822392,0.017854656350802346,58
4.583527946472168,0.787094770365931,0.7057888984680176,0.30026270725858767,False,30,auto,4,4,907,"OrderedDict([('bootstrap', False), ('max_depth', 30), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 907)])",0.9255271695052718,0.9676601784266018,0.9419338964979905,0.9282170097596982,0.9178549664838513,0.9362386441346828,0.017531632140175273,41
2.419560432434082,0.30731793175645206,0.2691955089569092,0.05073598893058967,True,110,auto,4,6,551,"OrderedDict([('bootstrap', True), ('max_depth', 110), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 6), ('n_estimators', 551)])",0.9247566909975669,0.9663422546634225,0.941195768063643,0.9351062084802755,0.9119845622587853,0.9358770968927386,0.018174295081071882,48
